"data","location","district","lat","lon","total_cases","total_deaths","patients_admitted_hospitals","children_discharged","mortality_rate_percent","chpv_cases","chpv_deaths","enterovirus_cases","source"
2024-07-28,"Gujarat","Gujarat",22.3944136,68.6851886,131,53,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1817584743577448538"
2024-07-28,"Gujarat","Rajkot",22.2734662,70.7388945,6,2,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1817584743577448538"
2024-07-28,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,4,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1817584743577448538"
2024-07-28,"Gujarat","Maharashtra",18.7995799,74.1278287,1,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1817584743577448538"
2024-07-28,"Gujarat","Total",NA,NA,142,56,46,40,39.4366197183099,47,NA,2,"https://twitter.com/BrendanMIRROR/status/1817584743577448538"
2024-07-29,"Gujarat","Gujarat",22.3944136,68.6851886,133,56,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1817956018464383348"
2024-07-29,"Gujarat","Rajkot",22.2734662,70.7388945,6,2,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1817956018464383348"
2024-07-29,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,4,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1817956018464383348"
2024-07-29,"Gujarat","Maharashtra",18.7995799,74.1278287,1,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1817956018464383348"
2024-07-29,"Gujarat","Total",NA,NA,144,59,36,49,40.9722222222222,47,NA,2,"https://twitter.com/BrendanMIRROR/status/1817956018464383348"
2024-07-30,"Gujarat","Gujarat",22.3944136,68.6851886,137,56,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1818310239306801154"
2024-07-30,"Gujarat","Rajkot",22.2734662,70.7388945,6,2,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1818310239306801154"
2024-07-30,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,4,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1818310239306801154"
2024-07-30,"Gujarat","Maharashtra",18.7995799,74.1278287,1,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1818310239306801154"
2024-07-30,"Gujarat","Total",NA,NA,148,59,37,52,39.8648648648649,51,NA,2,"https://twitter.com/BrendanMIRROR/status/1818310239306801154"
2024-08-01,"Gujarat","Gujarat",22.3944136,68.6851886,148,61,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819040720914931739"
2024-08-01,"Gujarat","Rajkot",22.2734662,70.7388945,6,2,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819040720914931739"
2024-08-01,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,4,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819040720914931739"
2024-08-01,"Gujarat","Maharashtra",18.7995799,74.1278287,1,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819040720914931739"
2024-08-01,"Gujarat","Total",NA,NA,159,64,35,60,40.251572327044,56,NA,2,"https://twitter.com/BrendanMIRROR/status/1819040720914931739"
2024-08-02,"Gujarat","Gujarat",22.3944136,68.6851886,151,65,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819397199987724568"
2024-08-02,"Gujarat","Rajkot",22.2734662,70.7388945,6,2,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819397199987724568"
2024-08-02,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,4,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819397199987724568"
2024-08-02,"Gujarat","Maharashtra",18.7995799,74.1278287,1,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819397199987724568"
2024-08-02,"Gujarat","Total",NA,NA,162,68,33,61,41.9753086419753,57,NA,2,"https://twitter.com/BrendanMIRROR/status/1819397199987724568"
2024-08-03,"Gujarat","Gujarat",22.3944136,68.6851886,153,66,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819758620310986758"
2024-08-03,"Gujarat","Rajkot",22.2734662,70.7388945,6,2,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819758620310986758"
2024-08-03,"Gujarat","Madhya Pradesh",23.6378885,68.2937555,4,1,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819758620310986758"
2024-08-03,"Gujarat","Maharashtra",18.7995799,74.1278287,1,0,NA,NA,NA,NA,NA,NA,"https://twitter.com/BrendanMIRROR/status/1819758620310986758"
2024-08-03,"Gujarat","Total",NA,NA,164,69,27,68,42.0731707317073,57,NA,2,"https://twitter.com/BrendanMIRROR/status/1819758620310986758"
